class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,327,Expansion Economy Units,Minimum number of units required for the expansion economy (band),CAISOSA25 20250505,False
2,Generator,1,Generator objects,331,Unit Commitment Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,CAISOSA25 20250505,False
2,Generator,1,Generator objects,333,Pump Unit Commitment Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,CAISOSA25 20250505,False
2,Generator,1,Generator objects,335,Generation Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,CAISOSA25 20250505,False
2,Generator,1,Generator objects,337,Pump Load Non-anticipativity Time,Window of time over which to enforce non-anticipativity constraints in scenario-wise decomposition,CAISOSA25 20250505,False
2,Generator,116,set of generators that produce the emission,1275,Removal Rate,Proportion of emissions removed (scrubbed),CAISOSA25 20250505,False
2,Generator,135,set of generators the abatement technology is connected to,1324,Generation Participation Factor,Proportion of generator emissions that feed into the abatement technology,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1467,Initial Pump Load Raise Provision,Pump load raise reserve provision at time zero,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1468,Initial Raise Provision,Generator raise reserve provision at time zero,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1469,Max Response,Maximum spinning reserve response from generation adjustments,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1470,Max Sync Cond Response,Maximum synchronous condenser reserve response,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1471,Max Pump Response,Maximum dispatchable pump load reserve response,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1472,Total Response,"Maximum reserve response from generation, pumped load and synchronous condenser adjustments",CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1473,Max Replacement,Maximum replacement (non-spinning) reserve capability,CAISOSA25 20250505,True
2,Generator,164,set of generators that provide the reserve,1474,Max Response Factor,Maximum spinning reserve response as a proportion of generation capacity,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1475,Max Sync Cond Response Factor,Maximum synchronous condenser reserve response as a proportion of generation capacity,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1476,Max Pump Response Factor,Maximum dispatchable pump load reserve response as a proportion of pump load,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1477,Max Replacement Factor,Maximum replacement (non-spinning) reserve capability as a proportion of generation capacity,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1478,Min Provision,Minimum reserve provision when generator is available,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1479,Min Spinning Provision,Minimum spinning reserve provision when units are generating,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1480,Min Regulation Provision,Minimum regulation reserve provision when units are in the regulation range,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1481,Min Replacement Provision,Minimum replacement reserve provision when units are off-line,CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1482,Effectiveness,Estimated reserve effectiveness (MW/MW),CAISOSA25 20250505,False
2,Generator,164,set of generators that provide the reserve,1483,Response Ratio,Ratio that converts energy ramping to units comparable to reserve ramping units,CAISOSA25 20250505,True
2,Generator,164,set of generators that provide the reserve,1484,Offer Quantity,Reserve offer quantity in offer band,CAISOSA25 20250505,True
2,Generator,164,set of generators that provide the reserve,1488,Replacement Offer Quantity,Replacement reserve offer quantity in offer band,CAISOSA25 20250505,False
2,Generator,1,Generator objects,6,Hydro Efficiency Optimality,Controls when integers are used to enforce multi-band hydro efficiency functions to dispatch in order,CAISOSA25 20250505,False
2,Generator,1,Generator objects,12,Fixed Load Global,If [Fixed Load] applies across all units or unit-by-unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,13,Min Load Global,If [Min Load] applies across all units or unit-by-unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,14,Load Subtracter Global,If [Load Subtracter] applies across all units or unit-by-unit,CAISOSA25 20250505,False
